iter	Passed	Remaining
0	32	16264
1	33	8352
2	34	5633
3	34	4268
4	34	3448
5	35	2902
6	35	2512
7	36	2216
8	36	1989
9	36	1805
10	37	1654
11	37	1527
12	37	1420
13	38	1328
14	38	1248
15	38	1178
16	39	1116
17	39	1061
18	40	1013
19	40	970
20	40	934
21	41	898
22	41	865
23	42	834
24	42	806
25	42	780
26	43	756
27	43	733
28	43	713
29	44	693
30	44	675
31	45	658
32	45	643
33	45	628
34	46	614
35	46	600
36	46	587
37	47	575
38	47	563
39	48	552
40	48	542
41	48	531
42	49	524
43	49	515
44	50	506
45	50	498
46	51	491
47	51	484
48	51	476
49	52	469
50	52	463
51	52	456
52	53	449
53	53	443
54	54	436
55	54	431
56	55	428
57	55	423
58	55	418
59	56	413
60	56	408
61	57	403
62	57	399
63	57	394
64	58	390
65	58	386
66	59	382
67	59	378
68	59	374
69	60	370
70	60	367
71	61	363
72	61	359
73	61	355
74	62	353
75	62	349
76	63	346
77	63	342
78	63	340
79	64	336
80	64	333
81	64	330
82	65	327
83	65	324
84	65	322
85	66	319
86	66	316
87	66	313
88	67	310
89	67	308
90	68	305
91	68	303
92	68	301
93	69	299
94	69	296
95	69	294
96	70	292
97	70	289
98	71	287
99	71	285
100	71	283
101	72	281
102	72	279
103	72	277
104	73	276
105	73	274
106	74	272
107	74	270
108	74	268
109	75	266
110	75	265
111	76	263
112	76	261
113	76	260
114	77	258
115	77	256
116	77	255
117	78	253
118	78	251
119	78	250
120	79	248
121	79	246
122	79	245
123	80	243
124	80	242
125	81	240
126	81	239
127	81	237
128	82	236
129	82	235
130	83	233
131	83	232
132	83	231
133	84	229
134	84	228
135	84	226
136	85	225
137	85	224
138	85	222
139	86	221
140	86	220
141	86	218
142	87	217
143	87	216
144	87	215
145	88	213
146	88	212
147	88	211
148	89	210
149	89	209
150	90	208
151	90	207
152	90	205
153	91	204
154	91	203
155	91	202
156	92	201
157	92	200
158	92	199
159	93	197
160	93	196
161	93	195
162	94	194
163	94	193
164	94	192
165	95	191
166	95	190
167	96	189
168	96	189
169	96	188
170	97	187
